region	               id	imports_to  exports_from total_trade	group	trade_balance	year
Australia and Oceania	1	11777.7	    25312.1	 37089.8	medium	13,534.40	2010
Australia and Oceania	2	10921.3	    22415.5	 33336.8	medium	11,494.10	2009
Australia and Oceania	3	14196.9	    25367.1	 39564	        medium	11,170.20	2008
Australia and Oceania	4	12177.2	    22385.6	 34562.8	medium	10,208.30	2007
Australia and Oceania	5	11701.7	    20740.8	 32442.5	medium	9,039.20	2006
Caribbean	        6	13214.6	    21344.2	 34558.8	medium	8,129.50	2010
Caribbean	        7	12263.9	    17695.3	 29959.2	medium	5,431.30	2009
Caribbean	        8	18970.6	    23104.8	 42075.4	medium	4,134.20	2008
Caribbean	        9	18734.6	    19238.2	 37972.7	medium	503.6	        2007
Caribbean	        10	18567.4	    16916.8	 35484.1	medium	-1,650.60	2006
Central America	        11	20559.2	    24667.3	 45226.4	medium	4,108.10	2010
Central America	        12	15927.5	    20028.5	 35956.1	medium	4,101.00	2009
Central America	        13	16046.7	    24862.1	 40908.8	medium	8,815.40	2008
Central America	        14	15020.7	    20873.3	 35894	        medium	5,852.70	2007
Central America	        15	14588.5	    17767.8	 32356.3	medium	3,179.40	2006
Eastern Africa	        16	1116.2	    2147.2	 3263.4	        low	1,031.00	2010
Eastern Africa	        17	1072.3	    2045.4	 3117.6	        low	973.1	        2009
Eastern Africa	        18	1386.4	    1841	 3227.4	        low	454.6	        2008
Eastern Africa	        19	1231.8	    1490.1	 2722	        low	258.3	        2007
Eastern Africa	        20	1232.8	    1178.4	 2411.1	        low	-54.4	        2006
Eastern Asia	 	21      463578.     189029.5	 652607.7	high	-274,548.60	2009
Eastern Asia	        23	568881.5    216384.3	 785265.8	high	-352,497.20	2008
Eastern Asia	        24	560950.7    204482.7	765433.4	high	-356,468.00	2007
