Rank,,Name,Team,Position,Bye,Best,Worst,Avg,Std Dev,ADP,vs. ADP
1,,Saquon Barkley,NYG,RB,11,1,3,1.4,0.6,1,0
2,,Ezekiel Elliott,DAL,RB,8,1,6,2.2,1.1,2,0
3,,Christian McCaffrey,CAR,RB,7,2,6,3.5,1.1,3,0
4,,Alvin Kamara,NO,RB,9,1,11,3.8,1.6,4,0
5,,DeAndre Hopkins,HOU,WR,10,5,13,6.1,1.8,5,0
6,,Melvin Gordon,LAC,RB,12,5,27,8.2,2.8,6,0
7,,Davante Adams,GB,WR,11,5,20,8.3,3.5,8,1
8,,Julio Jones,ATL,WR,9,5,20,10.1,2.2,13,5
9,,Michael Thomas,NO,WR,9,5,30,11.7,4.8,9,0
10,,David Johnson,ARI,RB,12,4,46,11.8,4.6,10,0
11,,Todd Gurley,LAR,RB,9,1,44,12.2,7.6,7,-4
12,,Travis Kelce,KC,TE,12,12,17,12.2,0.8,17,5
13,,Odell Beckham Jr.,CLE,WR,7,6,26,12.4,4.7,14,1
14,,Le'Veon Bell,NYJ,RB,4,4,27,12.5,3.9,11,-3
15,,James Conner,PIT,RB,7,5,31,15.2,4.1,12,-3
16,,JuJu Smith-Schuster,PIT,WR,7,5,30,16.1,5.4,16,0
17,,Joe Mixon,CIN,RB,9,6,40,16.8,4.3,15,-2
18,,Antonio Brown,OAK,WR,6,10,26,19,4.1,20,2
19,,Zach Ertz,PHI,TE,10,15,63,19.4,8.7,23,4
20,,Dalvin Cook,MIN,RB,12,14,46,20.4,4.4,22,2
21,,Nick Chubb,CLE,RB,7,11,51,21.5,6.2,21,0
22,,George Kittle,SF,TE,4,15,53,23.1,7.6,25,3
23,,Mike Evans,TB,WR,7,13,33,24,4.5,19,-4
24,,A.J. Green,CIN,WR,9,16,35,27.1,3.4,32,8
25,,Keenan Allen,LAC,WR,12,13,33,27.3,3.5,26,1
26,,T.Y. Hilton,IND,WR,6,10,34,28.3,3.1,27,1
27,,Amari Cooper,DAL,WR,8,22,38,28.8,2.7,28,1
28,,Leonard Fournette,JAC,RB,10,17,60,30.2,9.1,30,2
29,,Adam Thielen,MIN,WR,12,24,42,32,2.8,24,-5
30,,Stefon Diggs,MIN,WR,12,20,37,32.4,1.6,29,-1
31,,Marlon Mack,IND,RB,6,17,61,34.1,10.6,38,7
32,,Patrick Mahomes,KC,QB,12,24,91,34.4,12.6,18,-14
33,,Brandin Cooks,LAR,WR,9,28,46,35.2,3.1,40,7
34,,Robert Woods,LAR,WR,9,28,65,36.2,3.7,42,8
35,,Aaron Jones,GB,RB,11,21,60,37.2,9.9,37,2
36,,Kenny Golladay,DET,WR,5,32,90,37.2,3.5,41,5
37,,Julian Edelman,NE,WR,10,25,62,39.1,6.3,47,10
38,,Damien Williams,KC,RB,12,17,114,40.1,15,31,-7
39,,Cooper Kupp,LAR,WR,9,33,58,40.2,5.1,48,9
40,,Sony Michel,NE,RB,10,19,89,42.2,11.3,33,-7
41,,Andrew Luck,IND,QB,6,24,78,45.5,10.5,43,2
42,,Alshon Jeffery,PHI,WR,10,34,73,45.6,7.3,73,31
43,,Devonta Freeman,ATL,RB,9,23,85,46.4,12.4,35,-8
44,,Allen Robinson,CHI,WR,6,35,79,46.5,10.4,68,24
45,,Chris Godwin,TB,WR,7,35,96,48.4,10.7,54,9
46,,Aaron Rodgers,GB,QB,11,24,70,49.9,7.7,53,7
47,,Phillip Lindsay,DEN,RB,10,18,84,50.7,10.3,39,-8
48,,D.J. Moore,CAR,WR,7,37,75,51.7,8.3,59,11
49,,Jarvis Landry,CLE,WR,7,32,88,52,12.2,52,3
50,,Sammy Watkins,KC,WR,12,32,138,52.1,10.7,65,15
51,,Derrick Henry,TEN,RB,11,21,71,52.4,10.4,36,-15
52,,Tyler Lockett,SEA,WR,11,34,96,53.1,11.4,64,12
53,,Kerryon Johnson,DET,RB,5,37,84,53.5,8.1,34,-19
54,,Deshaun Watson,HOU,QB,10,24,77,53.9,6.1,58,4
